=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
Setting cpu: 20
Setting cpu: 21
Setting cpu: 22
Setting cpu: 23
Setting cpu: 24
Setting cpu: 25
Setting cpu: 26
Setting cpu: 27
Setting cpu: 28
Setting cpu: 29
Setting cpu: 30
Setting cpu: 31
Setting cpu: 32
Setting cpu: 33
Setting cpu: 34
Setting cpu: 35
Setting cpu: 36
Setting cpu: 37
Setting cpu: 38
Setting cpu: 39
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: ivy_c8220) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [229/1638] t=32 m=3000 w=0 | elapsed=6895s eta=42423s
  [230/1638] t=32 m=5000 w=0 | elapsed=6925s eta=42393s
  [231/1638] t=32 m=7000 w=0 | elapsed=6955s eta=42362s
  [232/1638] t=32 m=10000 w=0 | elapsed=6985s eta=42331s
  [233/1638] t=32 m=20000 w=0 | elapsed=7015s eta=42300s
  [234/1638] t=32 m=50000 w=0 | elapsed=7045s eta=42270s
--- w=100ns, rep=1/3 ---
  [235/1638] t=8 m=0 w=100 | elapsed=7076s eta=42245s
  [236/1638] t=8 m=10 w=100 | elapsed=7106s eta=42214s
  [237/1638] t=8 m=20 w=100 | elapsed=7136s eta=42183s
  [238/1638] t=8 m=30 w=100 | elapsed=7166s eta=42152s
  [239/1638] t=8 m=40 w=100 | elapsed=7196s eta=42122s
  [240/1638] t=8 m=50 w=100 | elapsed=7226s eta=42091s
  [241/1638] t=8 m=60 w=100 | elapsed=7256s eta=42060s
  [242/1638] t=8 m=70 w=100 | elapsed=7286s eta=42029s
  [243/1638] t=8 m=80 w=100 | elapsed=7316s eta=41999s
  [244/1638] t=8 m=90 w=100 | elapsed=7347s eta=41974s
  [245/1638] t=8 m=100 w=100 | elapsed=7377s eta=41943s
  [246/1638] t=8 m=150 w=100 | elapsed=7407s eta=41912s
  [247/1638] t=8 m=200 w=100 | elapsed=7437s eta=41882s
  [248/1638] t=8 m=250 w=100 | elapsed=7467s eta=41851s
  [249/1638] t=8 m=300 w=100 | elapsed=7497s eta=41820s
  [250/1638] t=8 m=400 w=100 | elapsed=7527s eta=41789s
  [251/1638] t=8 m=500 w=100 | elapsed=7557s eta=41759s
  [252/1638] t=8 m=700 w=100 | elapsed=7587s eta=41728s
